feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,8.982087,1
uv_in_avg,UV254,5.212295,2
toc_in_avg,TOC,2.2392805,3
temp_in_avg,Temperature,0.994512,4
ph_in_avg,pH,0.75208396,5
