experiment,model,target,temperature_share_pct,temperature_mean_abs,total_mean_abs
5feat,rf,T_THMs_ug_L,64.65175233549247,0.537043694928086,0.8306715216955692
5feat,rf,DBCM_ug_L,53.0106169228448,0.4792019574339933,0.903973553319434
5feat,rf,BDCM_ug_L,65.15653330104853,0.45254194923508234,0.6945457750862258
5feat,xgb,T_THMs_ug_L,50.507659912109375,0.4695415496826172,0.9296442866325378
5feat,xgb,DBCM_ug_L,48.2288932800293,0.5081086158752441,1.0535356998443604
5feat,xgb,BDCM_ug_L,59.67646408081055,0.4179602265357971,0.7003769874572754
5feat,mlp,T_THMs_ug_L,59.48058786745361,0.5222923051103555,0.8780886736933912
5feat,mlp,DBCM_ug_L,49.82561230491144,0.45616741921628234,0.9155279746985001
5feat,mlp,BDCM_ug_L,68.4120693253267,0.4855386008136808,0.7097265228226776
5feat,kan,T_THMs_ug_L,54.404264966955076,0.5627804441774488,1.0344417749587818
5feat,kan,DBCM_ug_L,41.71342630610497,0.44252480726464877,1.0608689969921818
5feat,kan,BDCM_ug_L,57.756489369792,0.43536618703525454,0.7537961392490059
