feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,9.249058,1
uv_in_avg,UV254,3.4730241,2
toc_in_avg,TOC,3.0535471,3
ph_in_avg,pH,1.1084973,4
temp_in_avg,Temperature,0.76988786,5
