seed,target,mo_rmse,pt_rmse,d_rmse,mo_mae,pt_mae,d_mae,mo_r2,pt_r2,d_r2
42,BDCM_ug_L,1.5789260278428248,1.5990390294666816,0.020113001623856874,1.2470625877380372,1.2728168571696563,0.02575426943161907,0.41921784475258694,0.4043271245759471,-0.014890720176639838
42,DBCM_ug_L,2.7821765440578257,2.793809949829082,0.011633405771256378,2.249001334695255,2.302123698066263,0.05312236337100806,0.48588779144470917,0.4815793803354843,-0.004308411109224863
42,T_THMs_ug_L,7.443530208470795,7.314189022198943,-0.12934118627185232,6.029404079212862,5.809469952302821,-0.219934126910041,0.4698766751293959,0.48813979989539313,0.01826312476599723
42,MACRO,3.9348775934571485,3.9023460004982353,-0.03253159295891317,3.175156000548718,3.128136835846247,-0.04701916470247092,0.4583274371088974,0.4580154349356082,-0.0003120021732891942
2024,BDCM_ug_L,1.6059727324918474,1.6471176749257912,0.04114494243394384,1.242610729441923,1.3086650063009824,0.06605427685905929,0.3991500483384204,0.36796816888690875,-0.03118187945151163
2024,DBCM_ug_L,2.7953938809625485,2.717903990736858,-0.07748989022569042,2.241093043720021,2.1850054039674647,-0.056087639752556484,0.4809913837680718,0.5093669835574177,0.028375599789345896
2024,T_THMs_ug_L,7.577906981114469,7.576633107442944,-0.0012738736715256493,5.962503040538115,6.001108842737534,0.03860580219941934,0.4505634547933002,0.45074816382230254,0.0001847090290023612
2024,MACRO,3.993091198189622,3.980551591035198,-0.01253960715442437,3.1487356045666863,3.1649264176686605,0.016190813101974122,0.4435682956332641,0.442694438755543,-0.0008738568777211242
3407,BDCM_ug_L,1.6469347873048286,1.6261724214968407,-0.020762365807987848,1.2541271770701687,1.2827500427470486,0.028622865676879883,0.3681085163343505,0.3839401876675834,0.015831671333232933
3407,DBCM_ug_L,2.766780089767426,2.8302730776361313,0.06349298786870516,2.210109744352453,2.3278447880464443,0.11773504369399124,0.4915621999151807,0.4679588445806282,-0.02360335533455249
3407,T_THMs_ug_L,7.471526594267226,7.511439027300062,0.03991243303283554,6.039518412421732,6.021148849936092,-0.018369562485639257,0.4658814074320323,0.4601597086778798,-0.0057216987541525155
3407,MACRO,3.9617471571131606,3.9892948421443446,0.027547685031183988,3.1679184446147843,3.2105812269098615,0.04266278229507714,0.4418507078938545,0.4373529136420305,-0.0044977942518240055
7777,BDCM_ug_L,1.64657101281518,1.5877580755092553,-0.05881293730592474,1.272179480159984,1.2461255185744342,-0.026053961585549734,0.3683876295298294,0.4127022233325909,0.04431459380276148
7777,DBCM_ug_L,2.814312862608461,2.703256662982904,-0.11105619962555702,2.238861330817728,2.21050568187938,-0.028355648938347855,0.47394240079197625,0.5146409726178307,0.04069857182585446
7777,T_THMs_ug_L,7.739892273448248,7.39309167197143,-0.34680060147681857,6.09170218075023,5.935535767499139,-0.15616641325109093,0.4268228947219087,0.47703673259791124,0.05021383787600253
7777,MACRO,4.066925382957296,3.8947021368211963,-0.17222324613610018,3.2009143305759804,3.130722322650984,-0.07019200792499625,0.42305097501457145,0.46812664284944433,0.04507566783487288
10086,BDCM_ug_L,1.6444842403153568,1.5896329394535476,-0.05485130086180923,1.2786673826329849,1.24839508673724,-0.030272295895744872,0.3699875558193184,0.4113144130004134,0.04132685718109497
10086,DBCM_ug_L,2.7951666890524547,2.7406761029452396,-0.05449058610721513,2.2840999491074503,2.247246125165154,-0.036853823942296415,0.48107574380620866,0.5011109480970546,0.02003520429084593
10086,T_THMs_ug_L,7.561833498701263,7.479420818776354,-0.08241267992490986,6.050473381491268,5.950433170094209,-0.10004021139705888,0.4528918002270719,0.464752138994347,0.011860338767275103
10086,MACRO,4.000494809356359,3.9365766203917136,-0.06391818896464496,3.2044135710772346,3.148691460665534,-0.0557221104117005,0.4346516999508663,0.45905916669727165,0.02440746674640537
