feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,9.047872,1
cl2d_in_avg,Cl₂ dose,5.83977,2
uv_in_avg,UV254,2.655472,3
toc_in_avg,TOC,2.018809,4
ph_in_avg,pH,0.8004408,5
temp_in_avg,Temperature,0.72746056,6
