feature,feature_label,mean_abs_shap,rank
cl2d_in_avg,Cl₂ dose,23.237831,1
br_in_avg,Bromide,20.43269,2
toc_in_avg,TOC,18.344366,3
uv_in_avg,UV254,16.811893,4
temp_in_avg,Temperature,4.089909,5
ph_in_avg,pH,3.0569077,6
