feature,feature_label,mean_abs_shap,rank
toc_in_avg,TOC,35.722797,1
br_in_avg,Bromide,18.686012,2
uv_in_avg,UV254,11.600747,3
ph_in_avg,pH,5.6316833,4
temp_in_avg,Temperature,3.687047,5
