feature,feature_label,mean_abs_shap,rank
toc_in_avg,TOC,36.078211988329,1
uv_in_avg,UV254,20.672362713787795,2
br_in_avg,Bromide,13.449162173896246,3
temp_in_avg,Temperature,8.067644708884115,4
ph_in_avg,pH,4.999582995359191,5
