run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,br_in_avg,Bromide,11.59030068022101,0.0,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,uv_in_avg,UV254,5.35150396799128,0.0,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,toc_in_avg,TOC,4.227404880518419,0.0,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,ph_in_avg,pH,0.8331098620559299,0.0,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,shap,temp_in_avg,Temperature,0.7631526653261338,0.0,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,permutation,br_in_avg,Bromide,12.839525699797099,1.1175249107042529,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,permutation,uv_in_avg,UV254,4.951693883172746,0.7306511557541645,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,permutation,toc_in_avg,TOC,3.094542864210814,0.7537592740101258,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,permutation,temp_in_avg,Temperature,0.32524638544916007,0.1693114839485474,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,permutation,ph_in_avg,pH,-0.45141636004341323,0.35697349772358933,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,shap,br_in_avg,Bromide,5.870866768872995,0.0,1,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,shap,uv_in_avg,UV254,2.4151767796667185,0.0,2,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,shap,toc_in_avg,TOC,1.900928397371593,0.0,3,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,shap,temp_in_avg,Temperature,1.1790413916036002,0.0,4,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,shap,ph_in_avg,pH,0.5948493925744031,0.0,5,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,permutation,br_in_avg,Bromide,1.4191922167995519,1.120199563071875,1,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,permutation,ph_in_avg,pH,0.15792624850955886,0.1377563402826603,2,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,permutation,uv_in_avg,UV254,0.020476305293719577,0.4712947401231644,3,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,permutation,toc_in_avg,TOC,-0.2931703413136139,0.3755725297764289,4,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,permutation,temp_in_avg,Temperature,-0.4630072824639021,0.19974317986296028,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,shap,toc_in_avg,TOC,63.39903259277344,0.0,1,50,10
