run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,temp_in_avg,Temperature,1.2895819048567236,0.0,4,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,temp_in_avg,Temperature,0.9868753226210909,0.0,5,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,shap,temp_in_avg,Temperature,3.0597084630257996,0.0,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,temp_in_avg,Temperature,2.663227151233117,0.0,5,50,10
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,temp_in_avg,Temperature,0.8203733563423157,0.0,5,55,7
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,temp_in_avg,Temperature,0.6372449994087219,0.0,6,50,10
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,temp_in_avg,Temperature,2.4106438159942627,0.0,2,55,7
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,low,shap,temp_in_avg,Temperature,1.8814339637756348,0.0,3,50,10
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,high,shap,temp_in_avg,Temperature,3.3957626819610596,0.0,5,55,7
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,low,shap,temp_in_avg,Temperature,2.918519973754883,0.0,6,50,10
