feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,8.79131,1
temp_in_avg,Temperature,2.0012968,2
ph_in_avg,pH,1.7841599,3
uv_in_avg,UV254,1.700263,4
toc_in_avg,TOC,0.3577284,5
