feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,8.623060858625738,1
cl2d_in_avg,Cl₂ dose,5.019781123193146,2
toc_in_avg,TOC,3.509916802217991,3
uv_in_avg,UV254,2.1627655195955358,4
temp_in_avg,Temperature,0.7170004752563033,5
ph_in_avg,pH,0.42906479161182703,6
