feature,feature_label,mean_abs_shap,rank
toc_in_avg,TOC,34.063118,1
cl2d_in_avg,Cl₂ dose,26.190382,2
br_in_avg,Bromide,8.891558,3
uv_in_avg,UV254,6.3258214,4
temp_in_avg,Temperature,4.597037,5
ph_in_avg,pH,2.2633996,6
