feature,feature_label,mean_abs_shap,rank
cl2d_in_avg,Cl₂ dose,39.33304,1
toc_in_avg,TOC,14.178967,2
br_in_avg,Bromide,12.235598,3
temp_in_avg,Temperature,3.5681636,4
uv_in_avg,UV254,3.1823013,5
ph_in_avg,pH,2.8218338,6
