feature,source_column,n_tsid_total,n_tsid_valid,within_std_mean,within_std_median,within_std_q25,within_std_q75,within_std_iqr,within_std_max,within_std_to_overall_ratio,share_below_half_overall_std
pH,ph_in_avg,95,83,0.2274903161382519,0.19292855820595559,0.060250329032231306,0.31624089389964305,0.25599056486741173,1.189341554530629,0.19697687981540804,0.9036144578313253
UV254,uv_in_avg,95,83,0.01814982276667246,0.007445036697597362,0.003166762726142425,0.013364509514827027,0.0101977467886846,0.3136581111884176,0.061938750055592226,0.9518072289156626
Temperature,temp_in_avg,95,82,1.3181942082231983,0.7896055296695754,0.32807171552803804,1.446433136539346,1.1183614210113078,8.259991928971036,0.22927414354894934,0.7926829268292683
TOC,toc_in_avg,95,83,0.4906981556576756,0.3313500522753197,0.11215724257072521,0.524422712636724,0.4122654700659988,6.75319805192854,0.10695160916872479,0.963855421686747
Bromide,br_in_avg,95,82,27.407105675366786,9.954688985648282,2.14290921629704,22.17185974271461,20.02895052641757,462.0326548060676,0.045330043832620674,0.9512195121951219
Cl2 dose,cl2d_in_avg,95,83,0.7879929891267383,0.4498253629386154,0.2062657349130238,0.8409925433914087,0.6347268084783849,12.488070593284503,0.0925612615422277,0.9397590361445783
Contact time,time_sds_avg,95,83,2.145110526608449,0.09676923950453309,0.0,0.50418315333406,0.50418315333406,30.130803037202092,0.003334846402760537,0.9397590361445783
