feature,dataset1_column,tailake_column,dataset1_mean,tailake_mean,dataset1_median,tailake_median,dataset1_std,tailake_std,std_ratio_dataset1_to_tailake,dataset1_iqr,tailake_iqr,iqr_ratio_dataset1_to_tailake
pH,ph_in_avg,pH,7.658499025341131,7.682857142857143,7.77,7.7,0.9794477320726866,0.15917480141524576,6.153283832392299,1.4099999999999993,0.20000000000000018,7.04999999999999
UV254,uv_in_avg,UV254_A_cm,0.11294106090373279,0.11237142857142857,0.065,0.097,0.12019998290109467,0.04650947605477817,2.584419200068496,0.04700000000000001,0.05,0.9400000000000001
Temperature,temp_in_avg,temp_C,21.101798418972333,22.21142857142857,21.5,24.0,3.4439362304323557,8.330520379096091,0.413411896701469,3.6750000000000007,14.0,0.26250000000000007
TOC,toc_in_avg,TOC_mg_L,4.48204280155642,4.298874285714286,3.365,4.161,3.098130592430716,0.804248550655534,3.852205378431163,2.0224999999999995,1.2294999999999998,1.6449776331842212
Bromide,br_in_avg,Br_mg_L,147.8620675944334,0.12328571428571428,85.0,0.12,219.60466269138328,0.031047952741817424,7073.080293490826,111.105,0.0455,2441.868131868132
