feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,8.917333,1
ph_in_avg,pH,1.8198683,2
temp_in_avg,Temperature,1.4944469,3
uv_in_avg,UV254,1.3699762,4
cl2d_in_avg,Cl₂ dose,1.2363727,5
toc_in_avg,TOC,0.22344695,6
