feature,feature_label,mean_abs_shap,rank
toc_in_avg,TOC,6.771230533141648,1
br_in_avg,Bromide,5.899279092016386,2
uv_in_avg,UV254,2.695681521240278,3
temp_in_avg,Temperature,0.6844596039034152,4
ph_in_avg,pH,0.5838863491186682,5
