index,condition,feature_group,share_mean,share_std,count
0,A',Bromide,19.64528478338489,9.724617743974077,6
1,A',Organic precursors,17.49585792126938,6.193510265919738,6
2,A',Temperature,56.24135104469931,9.874921391798738,6
3,A',pH,6.617506250646419,0.6481708566437449,6
4,B,Bromide,41.0487634225995,15.592151427826678,6
5,B,Organic precursors,42.12626446119161,20.38718928025854,6
6,B,Temperature,8.705148431308606,3.414783138889432,6
7,B,pH,8.119823684900288,4.975770943267346,6
8,C,Bromide,38.60038098308795,15.100519255454687,6
9,C,Cl2 dose,23.010142336327874,11.186234607131752,6
10,C,Organic precursors,25.7745512148893,10.71853827178644,6
11,C,Temperature,5.89225399708639,3.9900676552167753,6
12,C,pH,6.722671468608477,5.5304506581720165,6
13,D,Bromide,41.462153848801755,16.749798810694635,30
14,D,Organic precursors,43.63564844089453,20.817252269519432,30
15,D,Temperature,7.003862335230809,3.112446637263327,30
16,D,pH,7.898335375072916,4.364233668511028,30
17,E,Bromide,36.28279444214817,17.437659533827393,30
18,E,Cl2 dose,28.67352931333219,16.143744725198925,30
19,E,Organic precursors,23.914059177964486,14.049838510228206,30
20,E,Temperature,5.160871738038558,2.8124048863465516,30
21,E,pH,5.9687453285166026,4.62677635141187,30
