feature_group,A',D,B,E,C
Temperature,56.24135104469931,7.003862335230809,8.705148431308606,5.160871738038558,5.89225399708639
Cl2 dose,,,,28.67352931333219,23.010142336327874
Bromide,19.64528478338489,41.462153848801755,41.0487634225995,36.28279444214817,38.60038098308795
Organic precursors,17.49585792126938,43.63564844089453,42.12626446119161,23.914059177964486,25.7745512148893
pH,6.617506250646419,7.898335375072916,8.119823684900288,5.9687453285166026,6.722671468608477
