feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,9.6654005,1
ph_in_avg,pH,2.7051415,2
uv_in_avg,UV254,2.5164316,3
temp_in_avg,Temperature,1.930174,4
toc_in_avg,TOC,1.4713315,5
