condition,condition_label,seed,model,model_label,target,target_key,target_label,feature,feature_label,mean_abs_shap,rank,n_train,n_test
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,1.92465989643703,3,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.4403813715303155,4,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.1957475789830523,5,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.623355579482475,1,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,3.819981887897621,2,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,3.0547263055126366,3,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.9854070787033841,4,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.7028878208018976,5,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,40.827415466308594,1,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,19.400915145874023,2,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,18.940744400024414,3,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,ph_in_avg,pH,7.351789951324463,4,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,6.533158779144287,5,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,8.285307884216309,1,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,2.448772430419922,2,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.3975892066955566,3,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,1.7242168188095093,4,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.3068022727966309,5,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.525815963745117,1,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,3.5352444648742676,2,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,2.5389139652252197,3,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,1.333847999572754,4,382,106
B,B Dataset1 5-common (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,1.0866155624389648,5,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,cl2d_in_avg,Cl₂ dose,26.809056536992017,1,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,23.72076834260718,2,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,15.157871854087134,3,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,12.096931981832247,4,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,2.8968076361626194,5,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,ph_in_avg,pH,1.7137083968938343,6,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,7.01860956951753,1,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.5784980743930688,2,382,106
C,C Dataset1 6-feat (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,cl2d_in_avg,Cl₂ dose,1.8647937376985033,3,382,106
