condition,condition_label,model,model_label,target_key,target_label,feature,feature_label,shap_mean,shap_std,rank_mean,rank_std,n_seeds
E,E Dataset1 6-feat (N=175),rf,Random Forest,bdcm,BDCM,toc_in_avg,TOC,2.865089856364069,2.5124906259618127,3.0,1.224744871391589,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,bdcm,BDCM,uv_in_avg,UV254,1.5049076816426599,0.5577242163997257,3.6,0.5477225575051661,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,br_in_avg,Bromide,9.203995464412094,1.5388831798325313,1.0,0.0,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,cl2d_in_avg,Cl₂ dose,2.282111572450627,0.6142220543602745,3.0,1.224744871391589,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,ph_in_avg,pH,2.5795759238599905,0.2834655021395481,2.4,0.5477225575051661,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,temp_in_avg,Temperature,1.152339405092936,0.2418106248804184,5.0,1.224744871391589,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,toc_in_avg,TOC,0.9951936475067249,0.20906378390556596,5.6,0.5477225575051662,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,dbcm,DBCM,uv_in_avg,UV254,1.646307519294778,0.16867504059944666,4.0,0.0,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,br_in_avg,Bromide,14.42721389851015,3.2111882698644445,3.4,0.894427190999916,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,cl2d_in_avg,Cl₂ dose,32.09233399974887,9.149823830858127,1.4,0.8944271909999159,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,ph_in_avg,pH,2.58292939860382,0.3449893392301635,6.0,0.0,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,temp_in_avg,Temperature,3.9494645212772497,0.9483113665573084,5.0,0.0,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,toc_in_avg,TOC,19.221762143645023,4.4537935762304945,2.0,0.7071067811865476,5
E,E Dataset1 6-feat (N=175),rf,Random Forest,thm4,THM4,uv_in_avg,UV254,14.355086320808166,3.1184140443011596,3.2,0.8366600265340756,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,br_in_avg,Bromide,6.728250789642334,1.5901184662699506,1.8,0.4472135954999579,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,cl2d_in_avg,Cl₂ dose,6.656543302536011,2.5623570036105394,1.6,0.8944271909999159,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,ph_in_avg,pH,0.6680443823337555,0.20563650962766786,5.0,0.7071067811865475,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,temp_in_avg,Temperature,0.49476773738861085,0.13690198181074328,5.8,0.4472135954999579,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,toc_in_avg,TOC,2.4082855105400087,3.0361371510327273,3.4,1.51657508881031,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,bdcm,BDCM,uv_in_avg,UV254,1.7692519307136536,1.154435460216507,3.4,0.5477225575051662,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,br_in_avg,Bromide,10.575412940979003,1.8083172512800254,1.0,0.0,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,cl2d_in_avg,Cl₂ dose,1.6496389389038086,0.7337026963884823,3.6,1.51657508881031,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,ph_in_avg,pH,1.5293933153152466,0.20024834437193897,4.0,1.224744871391589,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,temp_in_avg,Temperature,1.686596441268921,0.1840949401862577,2.8,0.44721359549995787,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,toc_in_avg,TOC,0.4153181821107864,0.23240766718045422,6.0,0.0,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,dbcm,DBCM,uv_in_avg,UV254,1.3783549427986146,0.3309649008876311,3.6,1.140175425099138,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,br_in_avg,Bromide,12.601758193969726,4.536078336766566,3.0,0.7071067811865476,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,cl2d_in_avg,Cl₂ dose,35.3827564239502,9.992530534579688,1.2,0.4472135954999579,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,ph_in_avg,pH,2.461719584465027,0.49548099501923704,6.0,0.0,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,temp_in_avg,Temperature,3.647173023223877,0.732505178947719,4.8,0.4472135954999579,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,toc_in_avg,TOC,17.107474040985107,10.560006712336714,2.6,1.140175425099138,5
E,E Dataset1 6-feat (N=175),xgb,XGBoost,thm4,THM4,uv_in_avg,UV254,11.826894998550415,7.402624063372144,3.4,1.3416407864998738,5
