feature,feature_label,mean_abs_shap,rank
toc_in_avg,TOC,23.747902214611656,1
br_in_avg,Bromide,20.104463802059115,2
cl2d_in_avg,Cl₂ dose,19.855185485296506,3
uv_in_avg,UV254,16.89846386443111,4
temp_in_avg,Temperature,4.106844098709579,5
ph_in_avg,pH,2.8444961139251275,6
