feature,feature_label,mean_abs_shap,rank
br_in_avg,Bromide,11.614303541339922,1
cl2d_in_avg,Cl₂ dose,3.116188915025543,2
ph_in_avg,pH,2.742852225273568,3
uv_in_avg,UV254,1.8564009032341455,4
toc_in_avg,TOC,1.3076394159618814,5
temp_in_avg,Temperature,1.1124127076164674,6
